velocity,force,temp,Adh,Ff
65,76,25,10.9,2.667592077
412,36,25,10.9,3.062810098
206,91,26,14.4,2.811200437
321,113,26,14.4,2.614528719
428,77,26,14.4,3.319016559
451,125,26,14.4,2.616426894
58,27,27,15,3.269742012
220,136,28,15.3,2.731460712
283,36,28,15.3,3.400756858
74,130,29,13.8,4.62745264
168,54,29,13.8,3.738680451
176,21,30,14.7,2.462343789
290,72,32,13.2,4.406174636
358,138,32,13.2,5.437529895
55,78,36,8.52,4.479494766
174,108,38,6.57,4.57511288
438,32,38,6.57,1.946652739
452,114,39,5.85,5.391947854
418,74,40,5.03,3.725768333
291,27,42,4.42,0.774063625
297,103,42,4.42,4.860156906
182,66,44,3.63,2.631979962
59,32,45,3.75,0.841874683
425,135,45,3.75,4.6720896
61,107,46,3.61,3.735508345
253,131,50,5.08,2.012067409
459,86,50,5.08,1.834338665
117,134,51,5.77,3.789101829
179,29,51,5.77,1.23418434
311,66,51,5.77,1.82417492
356,103,55,5.41,2.693822161
443,22,56,5.2,0.905361893
325,34,57,5.18,0.781671643
71,72,58,4.97,1.322640551
440,55,58,4.97,0.904692977
419,134,59,4.9,1.794984092
215,86,60,4.8,1.172761039
442,105,65,4.28,1.900594064
56,118,66,4.26,1.644522055
79,30,67,4.22,0.834906818
200,137,69,3.86,1.63680793
310,128,69,3.86,1.162819463
234,33,71,3.38,0.656510394
310,77,72,3.33,0.847744656
188,104,73,3.21,1.236633659
104,69,74,3.14,0.783769681
401,29,74,3.14,1.229695035
442,77,74,3.14,1.416849089
431,125,75,3.1,2.048366806
81,137,76,3.04,1.929714278
