velocity,force,temp,Adh,Ff
65,76,25,17,8.379718589
412,36,25,17,9.31807305
206,91,26,17.7,8.754444838
321,113,26,17.7,9.208403035
428,77,26,17.7,9.638558189
451,125,26,17.7,9.993297164
58,27,27,16.9,8.987763757
220,136,28,16,9.455056312
283,36,28,16,9.162233282
74,130,29,16.6,12.76055122
168,54,29,16.6,8.966215948
176,21,30,16.9,6.543946264
290,72,32,14.8,9.876552468
358,138,32,14.8,12.15320427
55,78,36,9.57,10.28391052
174,108,38,7.45,10.16004797
438,32,38,7.45,6.678759803
452,114,39,6.91,11.65508379
418,74,40,6.29,10.29793111
291,27,42,4.91,5.571285967
297,103,42,4.91,13.81462781
182,66,44,3.86,9.875747823
59,32,45,4.21,7.582021231
425,135,45,4.21,14.15699439
61,107,46,4.19,12.86363024
253,131,50,5.01,6.518547154
459,86,50,5.01,9.401507966
117,134,51,2.74,11.77620137
179,29,51,2.74,6.036094841
311,66,51,2.74,7.970494018
356,103,55,5.42,9.620793431
443,22,56,5.27,4.261327407
325,34,57,5.12,3.920383934
71,72,58,5,5.333574905
440,55,58,5,5.263841928
419,134,59,4.87,8.847841942
215,86,60,4.7,5.528730615
442,105,65,4.22,7.418870624
56,118,66,4.39,6.049920552
79,30,67,4.22,3.183082243
200,137,69,3.44,5.786461838
310,128,69,3.44,5.48984958
234,33,71,3.3,2.446232998
310,77,72,3.11,3.570585542
188,104,73,3.2,4.139287665
104,69,74,3.15,3.14723019
401,29,74,3.15,1.467249758
442,77,74,3.15,2.833698178
431,125,75,3.06,4.164368364
81,137,76,2.97,3.738189962
