velocity,force,temp,Adh,Ff
65,76,25,14.4,7.205398164
412,36,25,14.4,7.697538607
206,91,26,15.1,7.608575095
321,113,26,15.1,7.925804041
428,77,26,15.1,8.264015977
451,125,26,15.1,8.557896299
58,27,27,14.9,7.409267613
220,136,28,14.9,8.351966409
283,36,28,14.9,7.659957194
74,130,29,15.4,11.38166382
168,54,29,15.4,7.526989403
176,21,30,15.9,5.326156673
290,72,32,13.4,8.569636262
358,138,32,13.4,11.02670405
55,78,36,8.25,8.853837073
174,108,38,7.09,8.923530978
438,32,38,7.09,5.143594635
452,114,39,6.61,10.00689012
418,74,40,6.31,8.58546616
291,27,42,5.07,4.457028773
297,103,42,5.07,11.92947604
182,66,44,4.48,8.175442184
59,32,45,4.91,5.960060832
425,135,45,4.91,12.6090129
61,107,46,3.99,10.53244834
253,131,50,5.31,5.581419868
459,86,50,5.31,8.043512371
117,134,51,5.08,10.9584096
179,29,51,5.08,4.698197531
311,66,51,5.08,2.103553061
356,103,55,5.3,8.812646782
443,22,56,5.05,3.335543817
325,34,57,4.93,3.072570844
71,72,58,4.88,4.763656619
440,55,58,4.88,3.362744752
419,134,59,4.81,7.974177118
215,86,60,4.61,5.014949588
442,105,65,3.99,6.73727827
56,118,66,4.18,5.713813855
79,30,67,4.11,3.459645127
200,137,69,3.9,4.414770685
310,128,69,3.9,4.450020637
234,33,71,3.43,2.538228085
310,77,72,3.16,3.491558498
188,104,73,3.09,3.967532991
104,69,74,3.08,2.873822162
401,29,74,3.08,1.959826462
442,77,74,3.08,2.870499453
431,125,75,3.06,3.990450428
81,137,76,2.94,2.00043679
