velocity,force,temp,Adh,Ff
65,76,25,17.4,0.135264316
412,36,25,17.4,0.278731924
206,91,26,17.5,0.241396559
321,113,26,17.5,0.68898587
428,77,26,17.5,1.335987978
451,125,26,17.5,0.486946116
58,27,27,17.8,1.675138765
220,136,28,17.3,2.363764078
283,36,28,17.3,3.549333614
74,130,29,17.4,4.066549289
168,54,29,17.4,3.523623611
176,21,30,16.6,2.649696033
290,72,32,15,4.0887807
358,138,32,15,5.372539497
55,78,36,11,4.794952144
174,108,38,8.02,4.69876458
438,32,38,8.02,4.700454174
452,114,39,6.92,7.322689007
418,74,40,5.98,4.582000808
291,27,42,4.54,0.184394774
297,103,42,4.54,7.77625105
182,66,44,3.92,4.495328608
59,32,45,4.1,4.943117407
425,135,45,4.1,12.35570684
61,107,46,3.68,13.22875512
253,131,50,4.93,6.490984587
459,86,50,4.93,11.03110268
117,134,51,4.44,16.71021166
179,29,51,4.44,6.482060611
311,66,51,4.44,9.170176623
356,103,55,5.22,10.65983912
443,22,56,3.02,3.587411411
325,34,57,4.97,3.848229628
71,72,58,4.84,7.451950422
440,55,58,4.84,6.477104949
419,134,59,4.72,10.54751714
215,86,60,4.66,7.751392013
442,105,65,1.92,8.323291248
56,118,66,4.13,7.310320667
79,30,67,4.06,4.221497598
200,137,69,3.75,9.647945335
310,128,69,3.75,9.951051174
234,33,71,3.4,3.491631715
310,77,72,3.18,5.848001271
188,104,73,3.17,6.664081387
104,69,74,3.1,4.69654235
401,29,74,3.1,3.203495304
442,77,74,3.1,5.213513963
431,125,75,3.03,8.009887179
81,137,76,2.93,7.294522034
